,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,local_lat,local_long,dest_lat,dest_long,time arround car,time arround walk,time arround bike,length arround car,length arround walk,length arround bike,time bridge one walk,time bridge one bike,length bridge two walk,length bridge two bike,location type,destination type,time bridge two walk,time bridge two bike,length bridge one walk,length bridge one bike
23,23,23,23,39.073,-77.13080556,39.06236111,-77.12625,287.9,1600.0,603.1,2290.6,2222.3,2434.3,1592.3,774.0999999999999,1972.3000000000002,2199.3,house block,restaurants,1420.1,519.8,2211.5,2479.3
24,24,24,24,39.073,-77.13080556,39.05755556,-77.12277778,350.3,1830.1,642.2,2976.9,2541.8,2551.9,2050.5,940.0,2608.7,3029.1000000000004,house block,restaurants,1878.3,685.8,2847.9,3309.1000000000004
25,25,25,25,39.073,-77.13080556,39.05441667,-77.11891667,367.2,2050.3,703.0,3319.2,2847.7,2899.5,2340.4,1095.6,3011.3,3772.5,house block,restaurants,2168.2,841.3,3250.5,4052.6000000000004
26,26,26,26,39.073,-77.13080556,39.05738889,-77.11919444,342.3,1798.3,660.0,2997.5,2497.7,2677.6,2091.3,1018.9000000000001,2665.5,3394.3,house block,restaurants,1919.1999999999998,764.7,2904.7,3674.3
27,27,27,27,39.073,-77.13080556,39.06419444,-77.12419444,291.1,1525.9,627.2,2386.7,2119.4,2510.3,1518.2,819.5,1869.5,2199.1000000000004,house block,restaurants,1346.0,565.3,2108.6000000000004,2479.1000000000004
28,28,28,28,39.073,-77.13080556,39.07461111,-77.13763889,181.9,613.5,167.0,835.1,852.1,835.0,1433.7,674.6,3061.0,3123.9,house block,restaurants,2203.8999999999996,724.9,1991.2,2010.2
29,29,29,29,39.073,-77.13080556,39.07425,-77.13766667,172.2,572.6,158.2,791.0,795.2,791.0,1402.0,665.8,3016.9,3079.8,house block,groceries,2172.2,716.0999999999999,1947.2,1966.2
30,30,30,30,39.073,-77.13080556,39.06494444,-77.12786111,254.6,1349.6,459.5,1910.4,1874.5,2124.0,1341.9,679.9,1710.8000000000002,1728.3000000000002,house block,groceries,1231.8,425.6,1863.7,2008.3000000000002
31,31,31,31,39.073,-77.13080556,39.06202778,-77.12686111,302.1,1644.6,615.6,2354.0,2284.3,2496.6,1636.9,786.0,2034.3000000000002,2259.0,house block,groceries,1464.6999999999998,531.8,2273.5,2539.0
32,32,32,32,39.073,-77.13080556,39.07508333,-77.11530556,251.1,1188.9,358.8,1652.2,1651.3,1771.4,2716.1,1066.1,4350.0,4661.4,house block,twinbrooke center mall,3132.0,1135.0,3772.3999999999996,3982.6000000000004
